Hour;Pin_MPa;Tin_C;Target_hour;Q_fact;Deviation;Nst_GPA1;Nst_GPA2;Nst_GPA3;Npol_GPA1;Npol_GPA2;Npol_GPA3;Qprod_GPA1;Qprod_GPA2;Qprod_GPA3;Qprod_total;q_term;f_term;b_term;constraint_term;total_cost;Fuel_total_kg_h
0;5.220;22.0;100.00;68.42;-2331.58;5300;5400;5200;1.270;1.278;1.277;24.14;22.24;22.04;68.42;498631.44;20.25;13.42;0.00;498665.12;20.25
1;5.215;22.0;101.37;95.07;-2236.51;6064;6200;6000;1.293;1.296;1.296;33.95;30.51;30.61;95.07;19840.68;28.29;38.41;0.00;19907.38;28.29
2;5.306;22.0;101.66;100.60;-2135.90;6014;7000;6089;1.292;1.291;1.296;33.36;35.85;31.39;100.60;556.82;32.98;49.94;0.00;639.75;32.98
3;5.437;22.0;101.71;101.33;-2034.58;5888;6521;6889;1.290;1.296;1.289;31.84;33.06;36.43;101.33;73.32;34.55;56.53;0.00;164.39;34.55
4;5.491;22.0;101.73;101.60;-1932.98;6163;6291;6640;1.294;1.296;1.293;35.09;31.29;35.22;101.60;8.36;32.77;49.78;0.00;90.91;32.77
5;5.635;22.0;101.74;102.06;-1830.91;6131;6757;6259;1.294;1.294;1.296;34.73;34.58;32.75;102.06;53.30;32.70;12.07;0.00;98.07;32.70
6;5.863;22.0;101.72;101.94;-1728.97;5923;6456;7057;1.291;1.296;1.286;32.26;32.59;37.09;101.94;25.07;36.09;72.89;0.00;134.05;36.09
7;5.986;22.0;101.70;101.62;-1627.35;5951;6351;7097;1.291;1.296;1.285;32.61;31.78;37.23;101.62;3.24;36.19;86.37;0.00;125.80;36.19
8;6.081;22.0;101.71;100.05;-1527.29;5722;7151;6408;1.286;1.288;1.295;29.73;36.51;33.82;100.05;1370.80;34.65;116.70;0.00;1522.14;34.65
9;6.246;22.0;101.82;102.04;-1425.26;6163;6878;6126;1.294;1.293;1.296;35.09;35.25;31.70;102.04;23.83;33.03;40.14;0.00;97.01;33.03
10;6.301;22.0;101.80;101.40;-1323.86;6128;6716;6209;1.294;1.294;1.296;34.70;34.33;32.37;101.40;81.82;32.17;15.68;0.00;129.66;32.17
11;6.361;22.0;101.84;102.18;-1221.68;6085;6714;6384;1.293;1.294;1.295;34.20;34.32;33.65;102.18;59.44;32.87;1.29;0.00;93.60;32.87
12;6.410;22.0;101.81;102.13;-1119.55;6306;6319;6433;1.296;1.296;1.295;36.63;31.52;33.98;102.13;52.65;32.39;65.14;0.00;150.18;32.39
13;6.303;22.0;101.78;101.36;-1018.19;5957;6455;6815;1.291;1.296;1.290;32.68;32.58;36.10;101.36;87.32;33.86;40.09;0.00;161.26;33.86
14;6.251;22.0;101.82;101.93;-916.26;5901;7002;6447;1.290;1.291;1.295;31.99;35.86;34.07;101.93;5.88;34.35;37.48;0.00;77.71;34.35
15;6.202;22.0;101.81;102.15;-814.11;5978;6903;6410;1.292;1.292;1.295;32.94;35.38;33.83;102.15;57.38;33.74;15.22;0.00;106.34;33.74
16;6.059;22.0;101.76;101.98;-712.14;5928;6491;6982;1.291;1.296;1.287;32.32;32.85;36.81;101.98;22.24;35.48;60.20;0.00;117.92;35.48
17;5.968;22.0;101.73;103.96;-608.18;6134;7291;6182;1.294;1.286;1.296;34.76;37.04;32.16;103.96;2487.04;36.73;59.72;0.00;2583.49;36.73
18;5.764;22.0;101.36;102.62;-505.56;6394;6491;6195;1.296;1.296;1.296;37.52;32.85;32.26;102.62;788.25;32.51;83.04;0.00;903.80;32.51
19;5.588;22.0;101.11;101.20;-404.35;5898;7089;6290;1.290;1.289;1.296;31.96;36.25;32.99;101.20;4.12;34.17;50.17;0.00;88.46;34.17
20;5.559;22.0;101.09;101.15;-303.21;5884;6920;6421;1.290;1.292;1.295;31.78;35.46;33.90;101.15;1.71;33.49;34.13;0.00;69.33;33.49
21;5.367;22.0;101.07;101.19;-202.02;6028;6647;6397;1.293;1.295;1.295;33.54;33.91;33.74;101.19;6.91;32.25;0.34;0.00;39.50;32.25
22;5.283;22.0;101.01;101.01;-101.02;5910;6403;6958;1.290;1.296;1.287;32.11;32.19;36.71;101.01;0.01;34.72;69.44;0.00;104.17;34.72
23;5.163;22.0;101.02;101.54;+0.52;6113;6842;6158;1.294;1.293;1.296;34.52;35.06;31.96;101.54;135.64;32.65;27.40;0.00;195.69;32.65
