Hour;Pin_MPa;Tin_C;Target_hour;Q_fact;Deviation;Nst_GPA1;Nst_GPA2;Nst_GPA3;Npol_GPA1;Npol_GPA2;Npol_GPA3;Qprod_GPA1;Qprod_GPA2;Qprod_GPA3;Qprod_total;q_term;f_term;b_term;constraint_term;total_cost;Fuel_total_kg_h
0;5.220;22.0;100.00;68.42;-2331.58;5300;5400;5200;1.270;1.278;1.277;24.14;22.24;22.04;68.42;498631.44;20.25;13.42;0.00;498665.12;20.25
1;5.215;22.0;101.37;94.91;-2236.67;6050;6200;6000;1.293;1.296;1.296;33.79;30.51;30.61;94.91;20895.47;28.22;34.76;0.00;20958.45;28.22
2;5.306;22.0;101.67;101.68;-2134.99;6128;6549;6397;1.294;1.296;1.295;34.69;33.25;33.74;101.68;0.14;32.23;5.34;0.00;37.70;32.23
3;5.437;22.0;101.67;101.65;-2033.34;6014;6726;6418;1.292;1.294;1.295;33.37;34.39;33.88;101.65;0.13;32.78;2.61;0.00;35.52;32.78
4;5.491;22.0;101.67;101.54;-1931.79;5932;6616;6685;1.291;1.295;1.292;32.38;33.70;35.46;101.54;7.60;33.53;23.86;0.00;64.99;33.53
5;5.635;22.0;101.67;101.59;-1830.20;5991;7019;6233;1.292;1.290;1.296;33.09;35.94;32.56;101.59;3.43;33.72;33.05;0.00;70.20;33.72
6;5.863;22.0;101.68;101.60;-1728.60;5902;6707;6657;1.290;1.294;1.292;32.01;34.28;35.31;101.60;2.74;33.72;28.57;0.00;65.03;33.72
7;5.986;22.0;101.68;101.62;-1626.98;6020;6525;6617;1.292;1.296;1.293;33.44;33.09;35.09;101.62;1.90;32.96;11.46;0.00;46.32;32.96
8;6.081;22.0;101.69;101.71;-1525.27;5988;6772;6435;1.292;1.294;1.295;33.05;34.67;33.99;101.71;0.27;33.04;6.60;0.00;39.91;33.04
9;6.246;22.0;101.68;101.59;-1423.68;6092;6514;6481;1.294;1.296;1.294;34.29;33.01;34.29;101.59;4.61;32.37;5.46;0.00;42.43;32.37
10;6.301;22.0;101.69;101.79;-1321.89;6040;6497;6642;1.293;1.296;1.293;33.67;32.89;35.23;101.79;5.36;33.10;14.26;0.00;52.72;33.10
11;6.361;22.0;101.68;101.74;-1220.14;6112;6659;6327;1.294;1.295;1.296;34.51;33.98;33.25;101.74;1.83;32.36;3.97;0.00;38.16;32.36
12;6.410;22.0;101.68;101.52;-1118.63;5901;6684;6670;1.290;1.295;1.292;31.99;34.14;35.38;101.52;13.13;33.68;29.41;0.00;76.21;33.68
13;6.303;22.0;101.69;101.79;-1016.83;5939;6965;6384;1.291;1.291;1.295;32.46;35.68;33.65;101.79;5.01;33.86;26.61;0.00;65.48;33.86
14;6.251;22.0;101.68;101.84;-914.99;6065;6815;6288;1.293;1.293;1.296;33.97;34.91;32.97;101.84;12.66;32.87;9.38;0.00;54.91;32.87
15;6.202;22.0;101.67;101.79;-813.20;6101;6520;6491;1.294;1.296;1.294;34.38;33.05;34.35;101.79;7.22;32.51;5.78;0.00;45.51;32.51
16;6.059;22.0;101.65;101.65;-711.56;6005;6641;6518;1.292;1.295;1.294;33.25;33.87;34.52;101.65;0.01;32.85;4.02;0.00;36.88;32.85
17;5.968;22.0;101.65;101.74;-609.82;6027;6743;6394;1.293;1.294;1.295;33.52;34.49;33.72;101.74;4.08;32.81;2.63;0.00;39.51;32.81
18;5.764;22.0;101.64;101.70;-508.12;6166;6487;6400;1.294;1.296;1.295;35.12;32.82;33.76;101.70;2.01;32.14;13.45;0.00;47.60;32.14
19;5.588;22.0;101.62;101.59;-406.53;6071;6673;6358;1.293;1.295;1.295;34.04;34.07;33.48;101.59;0.62;32.40;1.12;0.00;34.14;32.40
20;5.559;22.0;101.63;101.72;-304.81;6057;6591;6484;1.293;1.295;1.294;33.87;33.54;34.31;101.72;4.07;32.61;1.49;0.00;38.18;32.61
21;5.367;22.0;101.60;101.61;-203.19;6062;6796;6275;1.293;1.294;1.296;33.94;34.80;32.87;101.61;0.07;32.67;9.33;0.00;42.07;32.67
22;5.283;22.0;101.60;101.47;-101.72;6091;6687;6298;1.294;1.295;1.296;34.27;34.16;33.05;101.47;7.67;32.26;4.58;0.00;44.50;32.26
23;5.163;22.0;101.72;101.73;+0.01;5999;6649;6535;1.292;1.295;1.294;33.18;33.92;34.62;101.73;0.03;32.98;5.17;0.00;38.18;32.98
