Hour;Pin_MPa;Tin_C;Target_hour;Q_fact;Deviation;Nst_GPA1;Nst_GPA2;Nst_GPA3;Npol_GPA1;Npol_GPA2;Npol_GPA3;Qprod_GPA1;Qprod_GPA2;Qprod_GPA3;Qprod_total;q_term;f_term;b_term;constraint_term;total_cost;Fuel_total_kg_h
0;5.220;22.0;100.00;49.24;-2350.76;4741;4879;4679;1.242;1.253;1.251;16.68;16.48;16.09;49.24;1288341.15;16.66;0.90;0.00;1288358.71;16.66
1;5.215;22.0;102.21;58.79;-2291.97;4989;5155;4955;1.255;1.268;1.266;20.11;19.49;19.19;58.79;942331.24;18.29;2.21;0.00;942351.74;18.29
2;5.306;22.0;104.18;68.31;-2223.66;5237;5431;5231;1.267;1.279;1.279;23.31;22.59;22.41;68.31;643292.49;20.23;2.29;0.00;643315.01;20.23
3;5.437;22.0;105.89;77.82;-2145.83;5485;5707;5507;1.278;1.288;1.288;26.60;25.65;25.57;77.82;393805.46;22.48;3.31;0.00;393831.24;22.48
4;5.491;22.0;107.29;86.89;-2058.94;5733;5983;5783;1.286;1.293;1.294;29.87;28.50;28.53;86.89;208079.24;25.15;6.12;0.00;208110.50;25.15
5;5.635;22.0;108.37;95.13;-1963.81;5981;6259;6059;1.292;1.296;1.296;32.97;31.03;31.13;95.13;87551.40;28.39;11.98;0.00;87591.77;28.39
6;5.863;22.0;109.10;102.29;-1861.52;6229;6535;6335;1.295;1.296;1.296;35.81;33.16;33.32;102.29;23190.76;32.39;22.16;0.00;23245.32;32.39
7;5.986;22.0;109.50;108.26;-1753.26;6477;6811;6611;1.296;1.293;1.293;38.31;34.89;35.06;108.26;768.19;37.45;37.11;0.00;842.75;37.45
8;6.081;22.0;109.58;113.09;-1640.17;6725;7087;6887;1.295;1.289;1.289;40.42;36.24;36.42;113.09;6159.79;44.01;55.90;0.00;6259.70;44.01
9;6.246;22.0;109.34;116.92;-1523.25;6973;7363;7163;1.293;1.284;1.283;42.16;37.29;37.46;116.92;28656.37;52.81;76.43;0.00;28785.61;52.81
10;6.301;22.0;108.80;119.94;-1403.31;7221;7640;7440;1.289;1.279;1.278;43.56;38.11;38.27;119.94;61985.02;65.19;96.25;0.00;62146.46;65.19
11;6.361;22.0;107.95;122.36;-1280.95;7469;7916;7716;1.285;1.274;1.272;44.67;38.77;38.92;122.36;103887.04;83.92;113.38;0.00;104084.34;83.92
12;6.410;22.0;106.75;124.37;-1156.58;7717;8192;7992;1.280;1.269;1.267;45.57;39.33;39.48;124.37;155276.38;99.00;126.80;0.00;155502.17;99.00
13;6.303;22.0;105.14;127.26;-1029.33;7965;8468;8200;1.275;1.264;1.264;46.30;40.41;40.54;127.26;244452.01;104.08;112.99;0.00;244669.08;104.08
14;6.251;22.0;102.93;128.09;-901.24;8213;8500;8200;1.271;1.264;1.264;46.92;40.62;40.54;128.09;316452.62;106.49;133.89;0.00;316693.00;106.49
15;6.202;22.0;100.14;128.64;-772.59;8461;8500;8200;1.267;1.264;1.264;47.48;40.62;40.54;128.64;406311.75;108.80;158.31;0.00;406578.85;108.80
16;6.059;22.0;96.57;130.42;-642.18;8709;8500;8200;1.263;1.264;1.264;49.25;40.62;40.54;130.42;572635.78;110.05;250.18;0.00;572996.01;110.05
17;5.968;22.0;91.74;132.30;-509.87;8957;8500;8200;1.260;1.264;1.264;51.13;40.62;40.54;132.30;822703.04;111.18;371.05;0.00;823185.27;111.18
18;5.764;22.0;84.98;134.16;-375.72;9205;8500;8200;1.257;1.264;1.264;52.99;40.62;40.54;134.16;1209249.03;112.34;512.91;0.00;1209874.28;112.34
19;5.588;22.0;75.14;135.98;-239.73;9453;8500;8200;1.255;1.264;1.264;54.81;40.62;40.54;135.98;1850699.07;113.53;674.95;0.00;1851487.55;113.53
20;5.559;22.0;59.93;137.78;-101.95;9701;8500;8200;1.254;1.264;1.264;56.61;40.62;40.54;137.78;3030280.28;114.75;856.58;0.00;3031251.61;114.75
21;5.367;22.0;33.98;139.22;+37.27;9900;8500;8200;1.253;1.264;1.264;58.05;40.62;40.54;139.22;5536977.39;115.75;1016.62;0.00;5538109.76;115.75
22;5.283;22.0;0.00;139.22;+176.48;9900;8500;8200;1.253;1.264;1.264;58.05;40.62;40.54;139.22;9690645.74;115.75;1016.62;0.00;9691778.11;115.75
23;5.163;22.0;0.00;139.22;+315.70;9900;8500;8200;1.253;1.264;1.264;58.05;40.62;40.54;139.22;9690645.74;115.75;1016.62;0.00;9691778.11;115.75
